,price,percent_change,market_cap,vol_24h,id
SAKE,0.01028401,-7.00464,747928,10004.38,sake-token
OK,0.00885043,-4.76956,747810,1164.97,okcash
GLINT,0.00541887,18.49427,747478,247953.0,beamswap
IMT,7.79e-05,-0.522,746671,33505.0,moneytoken
LAND,1.47,-5.2652,744500,160374.0,landshare
NAXAR,0.04685866,-5.53612,743535,13927.14,naxar
MUE,0.00299834,-0.05082,742586,315.93,monetaryunit
INVEST,0.02861194,0.81796,739100,5668.28,investdex
SAFEMOONCASH,7e-12,-7.47959,736980,2698.88,safemooncash
LDFI,0.00013203,6.59896,736073,2285.91,lendefi
NAVI,0.624568,1.53087,735705,7887.67,natus-vincere-fan-token
DEFI+S,2.81,0.00384,732337,2.75,piedao-defi-small-cap
NFTP,38.0,-9.52964,732012,3149.52,nft-platform-index
DTA,6.55e-05,0.1359,730976,29012.0,data
GAME,36.39,-14.42221,730602,60285.0,x-consoles
ORS,0.00376728,-7.59914,730156,65580.0,origin-sport
GARD,7.28e-05,-9.0353,729274,12756.65,hashgard
AVME,0.249771,-4.10796,727329,1579.27,avme
KFT,0.093154,0.51156,726066,48277.0,knit-finance
AIRI,0.00282127,-1.61836,723700,1985.31,airight
INFT,0.00056575,-33.52951,723520,75399.0,infinito
DDD,0.00164075,-6.91746,722265,33658.0,scry-info
DVILLE,8.26e-06,-0.80702,722177,428.24,dogeville
LEG,1.064,-1.29132,720324,9656.58,legia-warsaw-fan-token
TBC,0.00669394,2.69058,719354,124392.0,terablock
ICAP,6.87,0.5224,718521,1937.16,invictus-capital-token
PHT,0.01478974,14.42294,715944,214.99,lightstreams
TRC,0.03108144,0.89228,712999,412.19,terracoin
COTK,0.00152563,-1.54663,711528,108.27,colligo
NCDT,0.02842542,-0.37195,711338,11645.99,nuco-cloud
LFG,0.00797959,-8.74373,710892,55921.0,gamerse
HBOT,0.02632046,1.83747,710614,1824.3,hummingbot
SYC,0.01058262,,709811,0.02834025,synchrolife
TOSHI,13.76,-3.17564,704632,3182.92,toshi-token
ONE,0.00165422,,701268,0.0,menlo-one
FOUR,0.00424818,-3.87807,700701,3731.59,the-4th-pillar
BITTO,0.073351,5.11147,700675,3992.05,bitto-exchange
GEO,0.01401435,16.09166,695137,3114.06,geodb
VDV,0.00010032,2.56943,693627,875.72,vdv-token
SNTR,0.01404879,-1.24417,693223,29184.0,sentre
LYS,0.02665261,0.0,692968,0.0,lys-capital
SAIL,0.03305593,0.33395,692852,8387.14,sail
CWAP,0.107458,-0.9324,691816,39.59,defire
TOL,0.00307906,-13.0423,688997,49872.0,tolar
TANKS,0.00329268,-12.06001,688554,9064.34,tanks
EVX,0.0316268,9.20364,688295,14035.86,everex
AIR,2.57536e-07,3.47156,687162,65881.0,aircoin-2
MSP,0.00383667,,687122,0.0,mothership
OPEN,0.058907,-6.67792,683674,11482.54,open-governance-token
COIN,0.471239,0.0,682726,0.0,coin-artist
DRC,0.00067155,2.45226,681750,5738.82,digital-reserve-currency
DPY,0.01119478,-1.13373,681460,69593.0,delphy
AXIAL,0.01022957,-4.13644,678229,9203.94,axial-token
STF,0.04736805,-15.52131,675359,68997.0,structure-finance
WTF,0.00678402,-9.54462,674404,7011365.0,wtf-token
BNKR,0.03211239,,674336,37.27,bankroll-network
BCP,0.00519232,-7.07943,673624,166563.0,block-commerce-protocol
NMS,33.5,-0.22477,673237,178616.0,nemesis-dao
DIOS,2.13,-8.52839,672700,11814.66,dios-finance
TOTM,0.109153,-6.77901,668666,13295.5,totemfi
TRL,0.083449,-0.13043,667829,6058.54,triall
MXX,0.00590515,-0.14123,667504,510.86,multiplier
CHAI,1.24,,666973,0.0,chai
METO,0.01533707,-9.96947,665974,49366.0,metafluence
BLS,0.0321877,-10.17576,664585,11925.46,blockspace-token
LOOT,29.32,0.25055,663258,6302.57,nftlootbox
YTS,0.009495,-2.55911,662215,50.09,yetiswap
PRCY,0.078209,-4.74016,660638,183556.0,prcy-coin
VETH,0.815839,30.18126,657197,77.94,vether
DEB,0.00316571,-6.53928,656545,83314.0,debitum-network
DRACE,0.01257251,-4.55466,655780,9149.94,deathroad
ALN,0.01838795,-3.51885,654507,90869.0,aluna
OSWAP,0.0247335,1.49259,653610,1496.13,openswap
MARS,0.00432045,-6.53161,653556,44545.0,mars
UBEX,0.00020724,32.51985,653312,225773.0,ubex
BNSD,0.0039411,4.16704,652211,5764.39,bnsd-finance
DEFIT,0.02658198,-2.69421,652186,6168.9,defit
X8X,0.00838646,-0.87094,649443,1112.53,x8-project
DFD,0.0296878,-0.1132,648922,24421.0,defidollar-dao
DOKI,12.91,5.37787,644093,250.45,doki-doki-finance
STACK,1.18,-1.44906,643794,77.71,stacker-ventures
KMPL,40.72,,641470,0.0,kiloample
PIF,0.068409,17.80902,641293,8547.31,play-it-forward-dao
BITT,0.066033,5.06963,640499,148.58,bittoken
TUBE,0.00189899,-15.07432,638578,1237.32,bittube
